arm,faster_institute,slower_institute,rate_ratio,distance_ratio,inversion
INH 10X MIC,A,B,1.4415807631032458,0.6953193752647701,True
INH 10X MIC,A,B,2.26936710296117,0.8562011298888922,False
INH 10X MIC,A,D,4.332506506461067,0.31377048429474513,False
INH 10X MIC,A,D,8.262472140476547,0.2959916741364937,False
INH 10X MIC,A,D,6.278557022670286,0.32131329755575705,False
INH 10X MIC,F,A,1.0431821438960307,5.268878087540556,True
INH 10X MIC,F,A,1.1916483047396431,5.2416032454843595,True
INH 10X MIC,F,A,1.123826076160063,4.90365868837675,True
INH 10X MIC,A,B,1.5791778736711255,0.861522820108342,True
INH 10X MIC,A,B,2.4859754014189464,1.0608604308213663,True
INH 10X MIC,A,D,4.746038923141135,0.38877160929599286,False
INH 10X MIC,A,D,9.051114942722204,0.36674309806707,False
INH 10X MIC,A,D,6.877837567310316,0.39811739482038316,False
INH 10X MIC,A,F,1.0501030681194097,0.23516046181507258,False
INH 10X MIC,F,A,1.0878174657448496,4.2304025023709135,True
INH 10X MIC,F,A,1.025904731491662,3.9576536060704743,True
INH 10X MIC,A,B,3.527076633141301,0.912823493386641,False
INH 10X MIC,A,B,5.552399064790135,1.1240309622166906,False
INH 10X MIC,A,D,10.60022639937035,0.4119216000366492,False
INH 10X MIC,A,D,20.215566941890888,0.3885813679444064,False
INH 10X MIC,A,D,15.361575522716356,0.42182389442943546,False
INH 10X MIC,A,F,2.3453937999673986,0.24916344552945852,False
INH 10X MIC,A,F,2.053183747922177,0.25045997510346785,False
INH 10X MIC,A,F,2.1770921536990366,0.26772087981532144,False
INH 10X MIC,B,D,3.0053859050772957,0.4512609535370199,False
INH 10X MIC,B,D,5.7315360692592625,0.4256916816445439,False
INH 10X MIC,B,D,4.355327972852963,0.462108937254056,False
INH 10X MIC,F,B,1.5038313110533197,3.6635530201749367,True
INH 10X MIC,F,B,1.7178572724972638,3.644588294035976,True
INH 10X MIC,F,B,1.6200860524661498,3.4096088957137844,True
INH 10X MIC,B,D,1.9091254565239013,0.36646819694744226,False
INH 10X MIC,B,D,3.6408706769809562,0.3457034379000458,False
INH 10X MIC,B,D,2.7666555201570295,0.37527782472963256,False
INH 10X MIC,F,B,2.3673632397541575,4.51121937179905,True
INH 10X MIC,F,B,2.704287461075593,4.4878666212129925,True
