deposit,panel,stratum,stage,n,excluded_here,appears_in_manuscript_as
Vijay clinical,15-day,all isolates,rows in the deposit,217,0,
Vijay clinical,15-day,all isolates,tolerance label present,217,0,
Vijay clinical,15-day,all isolates,"label is Low, Medium or High (drops 'MDR')",203,14,
Vijay clinical,15-day,all isolates,starting and day-5 readings present,203,0,
Vijay clinical,15-day,all isolates,susceptibility is IS or IR,203,0,
Vijay clinical,15-day,all isolates,growth proxy present (association family),202,1,
Vijay clinical,15-day,baseline only (0M),rows in the deposit,174,0,
Vijay clinical,15-day,baseline only (0M),tolerance label present,174,0,
Vijay clinical,15-day,baseline only (0M),"label is Low, Medium or High (drops 'MDR')",168,6,
Vijay clinical,15-day,baseline only (0M),starting and day-5 readings present,168,0,
Vijay clinical,15-day,baseline only (0M),susceptibility is IS or IR,168,0,
Vijay clinical,15-day,baseline only (0M),growth proxy present (association family),167,1,
Vijay clinical,60-day,all isolates,rows in the deposit,217,0,
Vijay clinical,60-day,all isolates,tolerance label present,211,6,
Vijay clinical,60-day,all isolates,"label is Low, Medium or High (drops 'MDR')",197,14,
Vijay clinical,60-day,all isolates,starting and day-5 readings present,197,0,
Vijay clinical,60-day,all isolates,susceptibility is IS or IR,197,0,
Vijay clinical,60-day,all isolates,growth proxy present (association family),196,1,
Vijay clinical,60-day,baseline only (0M),rows in the deposit,174,0,
Vijay clinical,60-day,baseline only (0M),tolerance label present,168,6,
Vijay clinical,60-day,baseline only (0M),"label is Low, Medium or High (drops 'MDR')",162,6,
Vijay clinical,60-day,baseline only (0M),starting and day-5 readings present,162,0,
Vijay clinical,60-day,baseline only (0M),susceptibility is IS or IR,162,0,
Vijay clinical,60-day,baseline only (0M),growth proxy present (association family),161,1,
ERA4TB six-laboratory,-,-,readings in the file,2775,0,
ERA4TB six-laboratory,-,-,excluding inoculum controls,2751,24,
ERA4TB six-laboratory,-,-,flasks (institute x arm x replicate),90,0,
ERA4TB six-laboratory,-,-,treated flasks,72,18,
ERA4TB six-laboratory,-,-,treated flasks with a usable starting density,67,5,
ERA4TB six-laboratory,-,-,laboratory-by-arm cells,30,0,
ERA4TB six-laboratory,-,-,cells with a fitted kill rate,29,1,
ERA4TB six-laboratory,-,-,series under the plating key (flasks x 4 platings),360,0,
ERA4TB six-laboratory,-,-,treated series,288,72,
ERA4TB six-laboratory,-,-,cross-laboratory pairs in the same arm,191,0,
